question_id,db_id,method,tier,hardness,table_tp,table_fp,table_fn,table_precision,table_recall,table_f1,table_srr_hit,table_predicted_count,table_gold_count,table_hallucinated,column_tp,column_fp,column_fn,column_precision,column_recall,column_f1,column_srr_hit,column_predicted_count,column_gold_count,column_hallucinated,hallucination_rate,hallucinated_tables_list,hallucinated_columns_list
27,concert_singer,lexical,tier1,hard,1,0,0,1.0,1.0,1.0,True,1,1,0,1,4,0,0.2,1.0,0.3333333333333333,True,5,1,0,0.0,,
28,concert_singer,lexical,tier1,hard,2,0,0,1.0,1.0,1.0,True,2,2,0,1,6,0,0.1428571428571428,1.0,0.25,True,7,1,0,0.0,,
29,concert_singer,lexical,tier1,hard,2,0,0,1.0,1.0,1.0,True,2,2,0,1,6,0,0.1428571428571428,1.0,0.25,True,7,1,0,0.0,,
30,concert_singer,lexical,tier1,hard,1,0,0,1.0,1.0,1.0,True,1,1,0,2,3,0,0.4,1.0,0.5714285714285715,True,5,2,0,0.0,,
31,concert_singer,lexical,tier1,hard,2,1,0,0.6666666666666666,1.0,0.8,True,3,2,0,2,7,0,0.2222222222222222,1.0,0.3636363636363636,True,9,2,0,0.0,,
32,concert_singer,lexical,tier1,hard,2,0,0,1.0,1.0,1.0,True,2,2,0,1,6,0,0.1428571428571428,1.0,0.25,True,7,1,0,0.0,,
33,concert_singer,lexical,tier1,medium,2,1,0,0.6666666666666666,1.0,0.8,True,3,2,0,2,6,0,0.25,1.0,0.4,True,8,2,0,0.0,,
34,concert_singer,lexical,tier1,medium,2,1,0,0.6666666666666666,1.0,0.8,True,3,2,0,2,6,0,0.25,1.0,0.4,True,8,2,0,0.0,,
35,concert_singer,lexical,tier1,medium,2,1,0,0.6666666666666666,1.0,0.8,True,3,2,0,1,6,0,0.1428571428571428,1.0,0.25,True,7,1,0,0.0,,
36,concert_singer,lexical,tier1,medium,2,1,0,0.6666666666666666,1.0,0.8,True,3,2,0,1,5,0,0.1666666666666666,1.0,0.2857142857142857,True,6,1,0,0.0,,
37,concert_singer,lexical,tier1,hard,3,0,0,1.0,1.0,1.0,True,3,3,0,2,8,0,0.2,1.0,0.3333333333333333,True,10,2,0,0.0,,
38,concert_singer,lexical,tier1,hard,2,1,0,0.6666666666666666,1.0,0.8,True,3,2,0,1,6,0,0.1428571428571428,1.0,0.25,True,7,1,0,0.0,,
39,concert_singer,lexical,tier1,medium,1,0,0,1.0,1.0,1.0,True,1,1,0,2,3,1,0.4,0.6666666666666666,0.5,False,5,3,0,0.0,,
40,concert_singer,lexical,tier1,medium,1,0,0,1.0,1.0,1.0,True,1,1,0,3,3,0,0.5,1.0,0.6666666666666666,True,6,3,0,0.0,,
41,concert_singer,lexical,tier1,extra,2,0,0,1.0,1.0,1.0,True,2,2,0,3,6,0,0.3333333333333333,1.0,0.5,True,9,3,0,0.0,,
42,concert_singer,lexical,tier1,extra,2,0,0,1.0,1.0,1.0,True,2,2,0,2,6,0,0.25,1.0,0.4,True,8,2,0,0.0,,
43,concert_singer,lexical,tier1,hard,2,1,0,0.6666666666666666,1.0,0.8,True,3,2,0,0,7,1,0.0,0.0,0.0,False,7,1,0,0.0,,
44,concert_singer,lexical,tier1,hard,2,1,0,0.6666666666666666,1.0,0.8,True,3,2,0,1,5,0,0.1666666666666666,1.0,0.2857142857142857,True,6,1,0,0.0,,
45,pets_1,lexical,tier1,easy,1,0,0,1.0,1.0,1.0,True,1,1,0,1,0,0,1.0,1.0,1.0,True,1,1,0,0.0,,
46,pets_1,lexical,tier1,easy,1,1,0,0.5,1.0,0.6666666666666666,True,2,1,0,1,1,0,0.5,1.0,0.6666666666666666,True,2,1,0,0.0,,
47,pets_1,lexical,tier1,medium,0,0,1,1.0,0.0,0.0,False,0,1,0,1,0,0,1.0,1.0,1.0,True,1,1,0,0.0,,
48,pets_1,lexical,tier1,medium,0,0,1,1.0,0.0,0.0,False,0,1,0,1,0,0,1.0,1.0,1.0,True,1,1,0,0.0,,
49,pets_1,lexical,tier1,medium,1,1,0,0.5,1.0,0.6666666666666666,True,2,1,0,2,0,0,1.0,1.0,1.0,True,2,2,0,0.0,,
50,pets_1,lexical,tier1,medium,1,1,0,0.5,1.0,0.6666666666666666,True,2,1,0,1,2,1,0.3333333333333333,0.5,0.4,False,3,2,0,0.0,,
51,pets_1,lexical,tier1,medium,1,1,1,0.5,0.5,0.5,False,2,2,0,0,2,0,0.0,1.0,0.0,True,2,0,0,0.0,,
52,pets_1,lexical,tier1,medium,2,1,0,0.6666666666666666,1.0,0.8,True,3,2,0,1,3,0,0.25,1.0,0.4,True,4,1,0,0.0,,
53,pets_1,lexical,tier1,hard,2,0,0,1.0,1.0,1.0,True,2,2,0,1,2,0,0.3333333333333333,1.0,0.5,True,3,1,0,0.0,,
54,pets_1,lexical,tier1,hard,2,0,0,1.0,1.0,1.0,True,2,2,0,0,3,0,0.0,1.0,0.0,True,3,0,0,0.0,,
55,pets_1,lexical,tier1,easy,1,0,0,1.0,1.0,1.0,True,1,1,0,0,1,0,0.0,1.0,0.0,True,1,0,0,0.0,,
56,pets_1,lexical,tier1,easy,1,0,0,1.0,1.0,1.0,True,1,1,0,0,2,0,0.0,1.0,0.0,True,2,0,0,0.0,,
57,pets_1,lexical,tier1,extra,2,1,0,0.6666666666666666,1.0,0.8,True,3,2,0,1,5,0,0.1666666666666666,1.0,0.2857142857142857,True,6,1,0,0.0,,
58,pets_1,lexical,tier1,extra,2,1,0,0.6666666666666666,1.0,0.8,True,3,2,0,1,5,0,0.1666666666666666,1.0,0.2857142857142857,True,6,1,0,0.0,,
59,pets_1,lexical,tier1,extra,2,0,0,1.0,1.0,1.0,True,2,2,0,1,3,0,0.25,1.0,0.4,True,4,1,0,0.0,,
60,pets_1,lexical,tier1,extra,2,1,0,0.6666666666666666,1.0,0.8,True,3,2,0,1,3,0,0.25,1.0,0.4,True,4,1,0,0.0,,
61,pets_1,lexical,tier1,extra,3,0,0,1.0,1.0,1.0,True,3,3,0,2,5,0,0.2857142857142857,1.0,0.4444444444444445,True,7,2,0,0.0,,
62,pets_1,lexical,tier1,extra,2,1,0,0.6666666666666666,1.0,0.8,True,3,2,0,1,3,0,0.25,1.0,0.4,True,4,1,0,0.0,,
63,pets_1,lexical,tier1,hard,2,1,0,0.6666666666666666,1.0,0.8,True,3,2,0,1,3,0,0.25,1.0,0.4,True,4,1,0,0.0,,
64,pets_1,lexical,tier1,hard,2,1,0,0.6666666666666666,1.0,0.8,True,3,2,0,1,1,0,0.5,1.0,0.6666666666666666,True,2,1,0,0.0,,
65,pets_1,lexical,tier1,extra,2,1,0,0.6666666666666666,1.0,0.8,True,3,2,0,2,6,0,0.25,1.0,0.4,True,8,2,0,0.0,,
66,pets_1,lexical,tier1,extra,1,0,0,1.0,1.0,1.0,True,1,1,0,1,3,0,0.25,1.0,0.4,True,4,1,0,0.0,,
67,pets_1,lexical,tier1,medium,1,1,0,0.5,1.0,0.6666666666666666,True,2,1,0,2,2,0,0.5,1.0,0.6666666666666666,True,4,2,0,0.0,,
68,pets_1,lexical,tier1,medium,1,0,0,1.0,1.0,1.0,True,1,1,0,2,2,0,0.5,1.0,0.6666666666666666,True,4,2,0,0.0,,
69,pets_1,lexical,tier1,medium,1,1,0,0.5,1.0,0.6666666666666666,True,2,1,0,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,False,3,3,0,0.0,,
70,pets_1,lexical,tier1,medium,1,0,0,1.0,1.0,1.0,True,1,1,0,1,0,1,1.0,0.5,0.6666666666666666,False,1,2,0,0.0,,
71,pets_1,lexical,tier1,medium,1,1,1,0.5,0.5,0.5,False,2,2,0,1,3,1,0.25,0.5,0.3333333333333333,False,4,2,0,0.0,,
72,pets_1,lexical,tier1,medium,1,1,1,0.5,0.5,0.5,False,2,2,0,2,1,0,0.6666666666666666,1.0,0.8,True,3,2,0,0.0,,
73,pets_1,lexical,tier1,medium,1,1,0,0.5,1.0,0.6666666666666666,True,2,1,0,2,1,0,0.6666666666666666,1.0,0.8,True,3,2,0,0.0,,
74,pets_1,lexical,tier1,medium,1,1,0,0.5,1.0,0.6666666666666666,True,2,1,0,1,3,1,0.25,0.5,0.3333333333333333,False,4,2,0,0.0,,
75,pets_1,lexical,tier1,medium,2,1,0,0.6666666666666666,1.0,0.8,True,3,2,0,2,6,0,0.25,1.0,0.4,True,8,2,0,0.0,,
76,pets_1,lexical,tier1,medium,2,1,0,0.6666666666666666,1.0,0.8,True,3,2,0,2,3,0,0.4,1.0,0.5714285714285715,True,5,2,0,0.0,,
77,pets_1,lexical,tier1,medium,2,1,0,0.6666666666666666,1.0,0.8,True,3,2,0,1,3,1,0.25,0.5,0.3333333333333333,False,4,2,0,0.0,,
78,pets_1,lexical,tier1,medium,2,1,0,0.6666666666666666,1.0,0.8,True,3,2,0,1,3,1,0.25,0.5,0.3333333333333333,False,4,2,0,0.0,,
79,pets_1,lexical,tier1,medium,2,1,0,0.6666666666666666,1.0,0.8,True,3,2,0,1,2,0,0.3333333333333333,1.0,0.5,True,3,1,0,0.0,,
80,pets_1,lexical,tier1,medium,2,1,0,0.6666666666666666,1.0,0.8,True,3,2,0,0,4,0,0.0,1.0,0.0,True,4,0,0,0.0,,
81,pets_1,lexical,tier1,medium,2,1,0,0.6666666666666666,1.0,0.8,True,3,2,0,1,5,1,0.1666666666666666,0.5,0.25,False,6,2,0,0.0,,
82,pets_1,lexical,tier1,medium,2,1,0,0.6666666666666666,1.0,0.8,True,3,2,0,1,5,1,0.1666666666666666,0.5,0.25,False,6,2,0,0.0,,
83,pets_1,lexical,tier1,hard,1,0,2,1.0,0.3333333333333333,0.5,False,1,3,0,1,4,1,0.2,0.5,0.2857142857142857,False,5,2,0,0.0,,
84,pets_1,lexical,tier1,hard,1,0,2,1.0,0.3333333333333333,0.5,False,1,3,0,1,3,1,0.25,0.5,0.3333333333333333,False,4,2,0,0.0,,
85,pets_1,lexical,tier1,extra,2,1,0,0.6666666666666666,1.0,0.8,True,3,2,0,1,5,0,0.1666666666666666,1.0,0.2857142857142857,True,6,1,0,0.0,,
86,pets_1,lexical,tier1,extra,2,1,0,0.6666666666666666,1.0,0.8,True,3,2,0,1,3,0,0.25,1.0,0.4,True,4,1,0,0.0,,
87,car_1,lexical,tier1,easy,1,0,0,1.0,1.0,1.0,True,1,1,0,0,3,0,0.0,1.0,0.0,True,3,0,0,0.0,,
88,car_1,lexical,tier1,easy,1,0,0,1.0,1.0,1.0,True,1,1,0,0,3,0,0.0,1.0,0.0,True,3,0,0,0.0,,
89,car_1,lexical,tier1,medium,2,0,0,1.0,1.0,1.0,True,2,2,0,3,5,0,0.375,1.0,0.5454545454545454,True,8,3,0,0.0,,
90,car_1,lexical,tier1,medium,2,0,0,1.0,1.0,1.0,True,2,2,0,2,5,0,0.2857142857142857,1.0,0.4444444444444445,True,7,2,0,0.0,,
91,car_1,lexical,tier1,easy,1,1,0,0.5,1.0,0.6666666666666666,True,2,1,0,0,2,0,0.0,1.0,0.0,True,2,0,0,0.0,,
92,car_1,lexical,tier1,easy,1,1,0,0.5,1.0,0.6666666666666666,True,2,1,0,0,2,0,0.0,1.0,0.0,True,2,0,0,0.0,,
93,car_1,lexical,tier1,medium,2,0,0,1.0,1.0,1.0,True,2,2,0,3,6,0,0.3333333333333333,1.0,0.5,True,9,3,0,0.0,,
94,car_1,lexical,tier1,medium,2,0,0,1.0,1.0,1.0,True,2,2,0,3,6,0,0.3333333333333333,1.0,0.5,True,9,3,0,0.0,,
95,car_1,lexical,tier1,hard,0,1,2,0.0,0.0,0.0,False,1,2,0,2,2,0,0.5,1.0,0.6666666666666666,True,4,2,0,0.0,,
96,car_1,lexical,tier1,hard,0,1,2,0.0,0.0,0.0,False,1,2,0,2,2,0,0.5,1.0,0.6666666666666666,True,4,2,0,0.0,,
97,car_1,lexical,tier1,extra,0,1,3,0.0,0.0,0.0,False,1,3,0,2,2,1,0.5,0.6666666666666666,0.5714285714285715,False,4,3,0,0.0,,
98,car_1,lexical,tier1,extra,0,0,3,1.0,0.0,0.0,False,0,3,0,2,2,0,0.5,1.0,0.6666666666666666,True,4,2,0,0.0,,
99,car_1,lexical,tier1,extra,1,0,2,1.0,0.3333333333333333,0.5,False,1,3,0,2,2,0,0.5,1.0,0.6666666666666666,True,4,2,0,0.0,,
100,car_1,lexical,tier1,extra,1,0,1,1.0,0.5,0.6666666666666666,False,1,2,0,1,2,0,0.3333333333333333,1.0,0.5,True,3,1,0,0.0,,
101,car_1,lexical,tier1,extra,1,0,1,1.0,0.5,0.6666666666666666,False,1,2,0,2,2,0,0.5,1.0,0.6666666666666666,True,4,2,0,0.0,,
102,car_1,lexical,tier1,extra,0,0,2,1.0,0.0,0.0,False,0,2,0,1,3,0,0.25,1.0,0.4,True,4,1,0,0.0,,
103,car_1,lexical,tier1,hard,0,1,1,0.0,0.0,0.0,False,1,1,0,1,2,0,0.3333333333333333,1.0,0.5,True,3,1,0,0.0,,
104,car_1,lexical,tier1,hard,0,0,1,1.0,0.0,0.0,False,0,1,0,1,2,0,0.3333333333333333,1.0,0.5,True,3,1,0,0.0,,
105,car_1,lexical,tier1,hard,2,1,0,0.6666666666666666,1.0,0.8,True,3,2,0,1,7,0,0.125,1.0,0.2222222222222222,True,8,1,0,0.0,,
106,car_1,lexical,tier1,hard,2,0,0,1.0,1.0,1.0,True,2,2,0,2,4,1,0.3333333333333333,0.6666666666666666,0.4444444444444444,False,6,3,0,0.0,,
107,car_1,lexical,tier1,extra,2,2,0,0.5,1.0,0.6666666666666666,True,4,2,0,1,5,0,0.1666666666666666,1.0,0.2857142857142857,True,6,1,0,0.0,,
108,car_1,lexical,tier1,extra,1,0,1,1.0,0.5,0.6666666666666666,False,1,2,0,0,5,1,0.0,0.0,0.0,False,5,1,0,0.0,,
109,car_1,lexical,tier1,medium,2,1,0,0.6666666666666666,1.0,0.8,True,3,2,0,1,8,0,0.1111111111111111,1.0,0.1999999999999999,True,9,1,0,0.0,,
110,car_1,lexical,tier1,medium,2,0,0,1.0,1.0,1.0,True,2,2,0,2,9,0,0.1818181818181818,1.0,0.3076923076923077,True,11,2,0,0.0,,
111,car_1,lexical,tier1,medium,0,1,2,0.0,0.0,0.0,False,1,2,0,2,2,0,0.5,1.0,0.6666666666666666,True,4,2,0,0.0,,
112,car_1,lexical,tier1,medium,0,1,2,0.0,0.0,0.0,False,1,2,0,2,2,0,0.5,1.0,0.6666666666666666,True,4,2,0,0.0,,
113,car_1,lexical,tier1,medium,1,0,0,1.0,1.0,1.0,True,1,1,0,0,3,0,0.0,1.0,0.0,True,3,0,0,0.0,,
114,car_1,lexical,tier1,medium,1,0,0,1.0,1.0,1.0,True,1,1,0,0,3,0,0.0,1.0,0.0,True,3,0,0,0.0,,
115,car_1,lexical,tier1,hard,0,1,1,0.0,0.0,0.0,False,1,1,0,0,3,0,0.0,1.0,0.0,True,3,0,0,0.0,,
116,car_1,lexical,tier1,hard,0,1,1,0.0,0.0,0.0,False,1,1,0,0,4,0,0.0,1.0,0.0,True,4,0,0,0.0,,
117,car_1,lexical,tier1,easy,0,0,1,1.0,0.0,0.0,False,0,1,0,2,0,0,1.0,1.0,1.0,True,2,2,0,0.0,,
118,car_1,lexical,tier1,easy,0,0,1,1.0,0.0,0.0,False,0,1,0,1,0,1,1.0,0.5,0.6666666666666666,False,1,2,0,0.0,,
119,car_1,lexical,tier1,medium,0,0,1,1.0,0.0,0.0,False,0,1,0,2,0,0,1.0,1.0,1.0,True,2,2,0,0.0,,
120,car_1,lexical,tier1,medium,0,0,1,1.0,0.0,0.0,False,0,1,0,2,0,0,1.0,1.0,1.0,True,2,2,0,0.0,,
121,car_1,lexical,tier1,medium,1,1,0,0.5,1.0,0.6666666666666666,True,2,1,0,2,4,0,0.3333333333333333,1.0,0.5,True,6,2,0,0.0,,
122,car_1,lexical,tier1,medium,1,1,0,0.5,1.0,0.6666666666666666,True,2,1,0,2,4,0,0.3333333333333333,1.0,0.5,True,6,2,0,0.0,,
123,car_1,lexical,tier1,medium,2,2,0,0.5,1.0,0.6666666666666666,True,4,2,0,1,6,1,0.1428571428571428,0.5,0.2222222222222222,False,7,2,0,0.0,,
124,car_1,lexical,tier1,medium,3,1,0,0.75,1.0,0.8571428571428571,True,4,3,0,1,7,1,0.125,0.5,0.2,False,8,2,0,0.0,,
125,car_1,lexical,tier1,easy,0,0,1,1.0,0.0,0.0,False,0,1,0,1,0,0,1.0,1.0,1.0,True,1,1,0,0.0,,
126,car_1,lexical,tier1,easy,0,0,1,1.0,0.0,0.0,False,0,1,0,1,0,0,1.0,1.0,1.0,True,1,1,0,0.0,,
127,car_1,lexical,tier1,medium,0,0,1,1.0,0.0,0.0,False,0,1,0,2,0,0,1.0,1.0,1.0,True,2,2,0,0.0,,
128,car_1,lexical,tier1,medium,0,0,1,1.0,0.0,0.0,False,0,1,0,2,0,0,1.0,1.0,1.0,True,2,2,0,0.0,,
129,car_1,lexical,tier1,extra,1,1,1,0.5,0.5,0.5,False,2,2,0,0,2,1,0.0,0.0,0.0,False,2,1,0,0.0,,
130,car_1,lexical,tier1,extra,1,1,1,0.5,0.5,0.5,False,2,2,0,0,2,1,0.0,0.0,0.0,False,2,1,0,0.0,,
131,car_1,lexical,tier1,extra,0,2,2,0.0,0.0,0.0,False,2,2,0,3,5,0,0.375,1.0,0.5454545454545454,True,8,3,0,0.0,,
132,car_1,lexical,tier1,extra,0,2,2,0.0,0.0,0.0,False,2,2,0,3,6,0,0.3333333333333333,1.0,0.5,True,9,3,0,0.0,,
133,car_1,lexical,tier1,hard,0,1,2,0.0,0.0,0.0,False,1,2,0,1,2,1,0.3333333333333333,0.5,0.4,False,3,2,0,0.0,,
134,car_1,lexical,tier1,hard,0,1,2,0.0,0.0,0.0,False,1,2,0,2,2,0,0.5,1.0,0.6666666666666666,True,4,2,0,0.0,,
135,car_1,lexical,tier1,easy,0,0,1,1.0,0.0,0.0,False,0,1,0,1,0,0,1.0,1.0,1.0,True,1,1,0,0.0,,
136,car_1,lexical,tier1,easy,0,0,1,1.0,0.0,0.0,False,0,1,0,1,0,0,1.0,1.0,1.0,True,1,1,0,0.0,,
137,car_1,lexical,tier1,medium,0,1,2,0.0,0.0,0.0,False,1,2,0,2,2,0,0.5,1.0,0.6666666666666666,True,4,2,0,0.0,,
138,car_1,lexical,tier1,medium,0,0,1,1.0,0.0,0.0,False,0,1,0,1,0,0,1.0,1.0,1.0,True,1,1,0,0.0,,
139,car_1,lexical,tier1,medium,0,0,1,1.0,0.0,0.0,False,0,1,0,2,0,0,1.0,1.0,1.0,True,2,2,0,0.0,,
140,car_1,lexical,tier1,medium,0,0,1,1.0,0.0,0.0,False,0,1,0,2,0,0,1.0,1.0,1.0,True,2,2,0,0.0,,
141,car_1,lexical,tier1,hard,0,1,1,0.0,0.0,0.0,False,1,1,0,1,5,0,0.1666666666666666,1.0,0.2857142857142857,True,6,1,0,0.0,,
142,car_1,lexical,tier1,hard,0,1,1,0.0,0.0,0.0,False,1,1,0,1,2,0,0.3333333333333333,1.0,0.5,True,3,1,0,0.0,,
143,car_1,lexical,tier1,easy,0,0,1,1.0,0.0,0.0,False,0,1,0,1,0,0,1.0,1.0,1.0,True,1,1,0,0.0,,
144,car_1,lexical,tier1,easy,0,0,1,1.0,0.0,0.0,False,0,1,0,1,0,0,1.0,1.0,1.0,True,1,1,0,0.0,,
145,car_1,lexical,tier1,easy,0,0,1,1.0,0.0,0.0,False,0,1,0,0,0,0,1.0,1.0,1.0,True,0,0,0,0.0,,
146,car_1,lexical,tier1,easy,0,0,1,1.0,0.0,0.0,False,0,1,0,0,1,0,0.0,1.0,0.0,True,1,0,0,0.0,,
147,car_1,lexical,tier1,medium,1,0,1,1.0,0.5,0.6666666666666666,False,1,2,0,2,5,0,0.2857142857142857,1.0,0.4444444444444445,True,7,2,0,0.0,,
148,car_1,lexical,tier1,medium,1,0,1,1.0,0.5,0.6666666666666666,False,1,2,0,0,6,1,0.0,0.0,0.0,False,6,1,0,0.0,,
149,car_1,lexical,tier1,medium,2,0,0,1.0,1.0,1.0,True,2,2,0,2,7,0,0.2222222222222222,1.0,0.3636363636363636,True,9,2,0,0.0,,
150,car_1,lexical,tier1,medium,2,0,0,1.0,1.0,1.0,True,2,2,0,1,7,1,0.125,0.5,0.2,False,8,2,0,0.0,,
151,car_1,lexical,tier1,extra,0,0,3,1.0,0.0,0.0,False,0,3,0,4,4,0,0.5,1.0,0.6666666666666666,True,8,4,0,0.0,,
152,car_1,lexical,tier1,extra,1,0,2,1.0,0.3333333333333333,0.5,False,1,3,0,2,5,1,0.2857142857142857,0.6666666666666666,0.4,False,7,3,0,0.0,,
153,car_1,lexical,tier1,easy,0,0,1,1.0,0.0,0.0,False,0,1,0,2,0,0,1.0,1.0,1.0,True,2,2,0,0.0,,
154,car_1,lexical,tier1,easy,1,0,0,1.0,1.0,1.0,True,1,1,0,2,0,0,1.0,1.0,1.0,True,2,2,0,0.0,,
155,car_1,lexical,tier1,medium,0,0,1,1.0,0.0,0.0,False,0,1,0,2,0,0,1.0,1.0,1.0,True,2,2,0,0.0,,
156,car_1,lexical,tier1,medium,0,0,1,1.0,0.0,0.0,False,0,1,0,2,0,0,1.0,1.0,1.0,True,2,2,0,0.0,,
157,car_1,lexical,tier1,extra,0,1,2,0.0,0.0,0.0,False,1,2,0,3,2,0,0.6,1.0,0.7499999999999999,True,5,3,0,0.0,,
158,car_1,lexical,tier1,extra,0,0,2,1.0,0.0,0.0,False,0,2,0,3,2,0,0.6,1.0,0.7499999999999999,True,5,3,0,0.0,,
159,car_1,lexical,tier1,hard,0,0,1,1.0,0.0,0.0,False,0,1,0,2,0,0,1.0,1.0,1.0,True,2,2,0,0.0,,
160,car_1,lexical,tier1,hard,0,0,1,1.0,0.0,0.0,False,0,1,0,2,0,0,1.0,1.0,1.0,True,2,2,0,0.0,,
161,car_1,lexical,tier1,medium,2,1,0,0.6666666666666666,1.0,0.8,True,3,2,0,0,5,0,0.0,1.0,0.0,True,5,0,0,0.0,,
162,car_1,lexical,tier1,medium,2,1,0,0.6666666666666666,1.0,0.8,True,3,2,0,0,5,0,0.0,1.0,0.0,True,5,0,0,0.0,,
163,car_1,lexical,tier1,easy,0,0,1,1.0,0.0,0.0,False,0,1,0,1,0,0,1.0,1.0,1.0,True,1,1,0,0.0,,
164,car_1,lexical,tier1,easy,0,0,1,1.0,0.0,0.0,False,0,1,0,1,0,0,1.0,1.0,1.0,True,1,1,0,0.0,,
165,car_1,lexical,tier1,extra,0,1,2,0.0,0.0,0.0,False,1,2,0,3,2,0,0.6,1.0,0.7499999999999999,True,5,3,0,0.0,,
166,car_1,lexical,tier1,extra,0,1,2,0.0,0.0,0.0,False,1,2,0,3,2,0,0.6,1.0,0.7499999999999999,True,5,3,0,0.0,,
167,car_1,lexical,tier1,extra,1,2,1,0.3333333333333333,0.5,0.4,False,3,2,0,4,4,0,0.5,1.0,0.6666666666666666,True,8,4,0,0.0,,
